Species	Cluster	IndVal	Prob
Bidens.bipinnata	3	0.0185826010181983	0.044
Eupatorium.capillifolium	4	0.163348246178884	0.001
Eupatorium.rotundifolium	3	0.341251716771366	0.001
Eupatorium.semiserratum	4	0.181211102860058	0.001
Euthamia.caroliniana	4	0.500013361161275	0.001
Gelsemium.sempervirens	2	0.0333333333333333	0.002
Gnaphalium.purpureum	3	0.0277777777777778	0.004
Hypericum.sp.	1	0.0563434330752841	0.003
Lespedeza.capitata	3	0.0678511729613449	0.001
Lespedeza.hirta	3	0.151288992642883	0.001
Ludwigia.alternifolia	4	0.0444444444444444	0.001
Packera.tomentosa	3	0.413294722140422	0.001
Pteridium.aquilinum	1	0.0436468928963301	0.001
Pycnanthemum.flexuosum	3	0.155510715490086	0.001
Rhexia.mariana	3	0.303122629579759	0.001
Rhus.radicans	1	0.0787438952425442	0.001
Smilax.glauca	1	0.36594702308596	0.001
Smilax.rotundifolia	1	0.343024159825404	0.001
Solidago.pinetorum	3	0.36748181844323	0.001
Solidago.puberula	3	0.0367144027988533	0.002
Solidago.rugosa	3	0.382046512589142	0.001
Solidago.stricta	3	0.148240925251246	0.001
Viola.primulifolia	3	0.0771584238362194	0.001
Acer.rubrum	2	0.108794483593556	0.001
Amelanchier.canadensis	1	0.164675644671269	0.001
Aronia.arbutus	2	0.533569129539423	0.001
Callicarpa.americana	4	0.0222222222222222	0.018
Clethra.alnifolia	1	0.442158202754955	0.001
Crataegus.sp.	1	0.0388888888888889	0.001
Cyrilla.racemiflora	1	0.181595892894072	0.001
Ilex.glabra	1	0.118172792461554	0.001
Itea.virginica	2	0.0665410811818839	0.001
Liquidambar.styraciflua	2	0.282488150598348	0.001
Magnolia.virginica	2	0.0408281339439046	0.018
Nyssa.sylvatica	2	0.337256614590586	0.001
Pinus.taeda	1	0.033653724212941	0.011
Prunus.serotina	1	0.271843724857693	0.001
Rhus.copallinum	4	0.393426686760135	0.001
Rubus.argutus	4	0.295315257213599	0.001
Symplocos.tinctoria	2	0.0940757736700747	0.001
Vaccinium.sp.	1	0.0829449610383319	0.001
Viburnum.nudum	2	0.0541130305142208	0.001
Amphicarpum.purshii	3	0.036058955893787	0.02
Andropogon.virginica	3	0.366657859535944	0.001
Aristida.virgata	1	0.0770406418285439	0.01
Arundinaria.tecta	3	0.379337003443961	0.001
Chasmanthium.laxum	2	0.309232057962818	0.001
Dichanthelium.lucidum	4	0.302165602107381	0.001
Dichanthelium.scoparium	3	0.427677714717429	0.001
Juncus.biflorus	4	0.371518531084282	0.001
Juncus.dichotomus	4	0.115579812610774	0.001
Juncus.effusus	4	0.0746715935459503	0.001
Carex.glaucescens	4	0.0436439072169947	0.002
Rhynchospora.inexpansa	3	0.0879516952671067	0.001
