Species	Cluster	IndVal	Prob
Bidens.bipinnata	4	0.0237390127258723	0.013
Chamaecrista.fasciculata	4	0.0344574660430943	0.016
Desmodium.sp.	4	0.0331208675403677	0.005
Erechtites.graminifolia	4	0.0192749003685691	0.029
Eupatorium.capillifolium	4	0.122799662666413	0.001
Eupatorium.pilosum	3	0.0320520161122779	0.025
Eupatorium.recurvans	4	0.140009171013016	0.001
Eupatorium.rotundifolium	3	0.398568885161004	0.001
Eupatorium.semiserratum	2	0.0372983417452659	0.05
Euthamia.caroliniana	4	0.43752778771419	0.001
Gratiola.pilosa	3	0.0823356984520799	0.001
Hypericum.sp.	1	0.0656313786621905	0.016
Lobelia.nuttallii	3	0.216080579787495	0.001
Ludwigia.alternifolia	4	0.102269232438305	0.001
Lycopodium	3	0.0280969423445501	0.003
Packera.tomentosa	3	0.352021893742421	0.001
Polygala.cruciata	3	0.296762742040797	0.001
Polygala.lutea	3	0.0361931397610866	0.034
Pteridium.aquilinum	1	0.198725829965126	0.001
Rhexia.mariana	3	0.18094058902741	0.008
Rhexia.virginica	3	0.0985985716239987	0.001
Rhus.radicans	2	0.0909139579215504	0.001
Smilax.glauca	1	0.339108058752724	0.001
Smilax.rotundifolia	2	0.356286305586269	0.001
Solidago.rugosa	4	0.243402943452366	0.001
Solidago.stricta	3	0.612235990502686	0.001
Sphagnum.sp	2	0.0402878086036953	0.001
Viola.primulifolia	3	0.0698099312879713	0.002
Acer.rubrum	2	0.147440939789082	0.001
Amelanchier.canadensis	1	0.238231178951518	0.001
Aronia.arbutus	2	0.439290114464728	0.001
Clethra.alnifolia	1	0.369150427327319	0.001
Cyrilla.racemiflora	1	0.341958720126142	0.001
Ilex.glabra	3	0.0544260833688694	0.008
Itea.virginica	1	0.0524836713339625	0.009
Liquidambar.styraciflua	2	0.154544668478727	0.001
Nyssa.sylvatica	1	0.299734333597872	0.001
Pinus.taeda	1	0.17488204342097	0.001
Rhus.copallinum	4	0.111673952345439	0.005
Rubus.argutus	2	0.245101920126498	0.001
Symplocos.tinctoria	1	0.114928416286899	0.001
Vaccinium.sp.	1	0.150472226501582	0.001
Viburnum.nudum	2	0.0756051370107464	0.001
Amphicarpum.purshii	3	0.0551002470858674	0.002
Andropogon.virginica	3	0.540001208969555	0.001
Aristida.virgata	3	0.416087262837303	0.001
Arundinaria.tecta	4	0.329890939150777	0.001
Calamagrostis.coarctata	4	0.0903964713442917	0.002
Chasmanthium.laxum	4	0.329038096326973	0.001
Dichanthelium.lucidum	4	0.350184921190274	0.001
Dichanthelium.scabriusculum	2	0.083419858066477	0.029
Dichanthelium.scoparium	4	0.290321193880195	0.001
Juncus.biflorus	4	0.563242029434255	0.001
Juncus.canadensis	4	0.086142670269199	0.001
Juncus.dichotomus	4	0.157755691195428	0.001
Juncus.effusus	4	0.107537392999465	0.002
Carex.glaucescens	4	0.199705763497538	0.001
Rhynchospora.chalarocephala	3	0.0842113269820775	0.005
Rhynchospora.inexpansa	3	0.447460447782842	0.001
Saccharum.giganteum	2	0.0317558446289095	0.007
Scirpus.cyperinus	2	0.143444461654431	0.001
Scleria.minor	3	0.424666030174392	0.001
