Species	Cluster	IndVal	Prob
Bidens.bipinnata	3	0.0277777777777778	0.014
Eupatorium.capillifolium	4	0.125642175508582	0.001
Eupatorium.rotundifolium	3	0.334719728292399	0.001
Eupatorium.semiserratum	4	0.168413226986293	0.001
Gnaphaleum.purpureum	3	0.0347222222222222	0.003
Hypericum.sp.	1	0.0619241216442384	0.003
Lespedeza.capitata	3	0.0621725808825263	0.015
Lespedeza.hirta	3	0.149306664528321	0.001
Packera.tomentosa	3	0.43257619431139	0.001
Pycnanthemum.flexuosum	3	0.178409678172824	0.001
Rhexia.mariana	3	0.27989635959041	0.001
Rhus.radicans	1	0.0980190418953765	0.001
Smilax.glauca	1	0.36512668957922	0.001
Smilax.rotundifolia	1	0.308603187408464	0.001
Euthamia.caroliniana	4	0.508604933562554	0.001
Solidago.pinetorum	3	0.33383116826599	0.001
Solidago.puberula	3	0.0390645951573296	0.002
Solidago.rugosa	3	0.345805634632707	0.001
Solidago.stricta	3	0.167440861448616	0.001
Viola.primulifolia	3	0.0830377886666237	0.001
Acer.rubrum	2	0.0809875886776037	0.003
Amelanchier.canadensis	1	0.149538433935588	0.001
Clethra.alnifolia	1	0.344974223291103	0.001
Crataegus.sp.	1	0.0277777777777778	0.021
Cyrilla.racemiflora	1	0.099871668863113	0.001
Ilex.glabra	1	0.097585963858	0.001
Itea.virginica	2	0.0976171031331029	0.001
Liquidambar.styraciflua	2	0.285139931854237	0.001
Magnolia.virginica	2	0.0419152001354635	0.033
Nyssa.sylvatica	2	0.301947196859339	0.001
Prunus.serotina	1	0.244801073487539	0.001
Rhus.copallinum	4	0.363328096276694	0.001
Rubus.betulifolius	4	0.202034021203495	0.002
Sorbus.arbutifolia	2	0.555519369011419	0.001
Symplocos.tinctoria	2	0.0651296655914662	0.011
Vaccinium.sp.	1	0.0582016589301806	0.005
Andropogon.virginica	3	0.373623554115695	0.001
Aristida.virgata	1	0.0938921450852324	0.002
Arundinaria.tecta	3	0.393227099940927	0.001
Chasmanthium.laxum	2	0.355601398705691	0.001
Dichanthelium.lucidum	3	0.305456493502857	0.001
Dichanthelium.scoparium	3	0.397104655117806	0.001
Juncus.biflorus	4	0.465913989668246	0.001
Juncus.effusus	4	0.082087650261767	0.001
Carex.glaucescens	4	0.0496866368187046	0.001
Rhynchospora.chalarocephala	4	0.0321507967750337	0.035
Rhynchospora.inexpansa	3	0.0914988429303517	0.003
