Species	Cluster	IndVal	Prob
Eupatorium.capillifolium	4	0.123921664071907	0.001
Eupatorium.recurvans	4	0.128775333281677	0.037
Eupatorium.rotundifolium	3	0.348333633961367	0.001
Eupatorium.semiserratum	2	0.0973482063634781	0.001
Gratiola.pilosa	3	0.090479506897342	0.002
Hypericum.sp.	1	0.0766344508262951	0.018
Lespedeza.capitata	4	0.0581629934175924	0.028
Lobelia.nuttallii	3	0.19779206424744	0.001
Ludwigia.alternifolia	4	0.0672126558172124	0.001
Lycopodium	3	0.0265494401159732	0.011
Packera.tomentosa	3	0.389914946229166	0.001
Polygala.cruciata	3	0.311503410744842	0.001
Polygala.lutea	3	0.0452661398133414	0.025
Pteridium.aquilinum	1	0.173769346557327	0.001
Pycnanthemum.flexuosum	2	0.138975407937235	0.004
Rhexia.mariana	2	0.175900973367998	0.027
Rhexia.virginica	3	0.0877492027384651	0.001
Rhus.radicans	2	0.0576745563835206	0.001
Smilax.glauca	1	0.36375989741661	0.001
Smilax.rotundifolia	2	0.304851071136338	0.001
Euthamia.caroliniana	4	0.43214225527837	0.001
Solidago.rugosa	3	0.177617125608184	0.001
Solidago.stricta	3	0.560725134810219	0.001
Sphagnum.sp	2	0.0309421535605027	0.012
Viola.primulifolia	3	0.0799297836058446	0.002
Acer.rubrum	2	0.0936822139526035	0.006
Amelanchier.canadensis	1	0.197621715034134	0.001
Clethra.alnifolia	1	0.30691604262275	0.001
Cyrilla.racemiflora	1	0.313778913997573	0.001
Ilex.glabra	3	0.0559429663161765	0.008
Itea.virginica	1	0.0477568195382861	0.003
Liquidambar.styraciflua	2	0.0949898638854442	0.034
Nyssa.sylvatica	1	0.262197878834344	0.001
Pinus.taeda	1	0.111111111111111	0.001
Rubus.betulifolius	2	0.347736534131399	0.001
Sorbus.arbutifolia	2	0.385698260470831	0.001
Symplocos.tinctoria	1	0.0773114194593666	0.004
Vaccinium.sp.	1	0.108614279039593	0.001
Viburnum.nudum	2	0.0751491677948886	0.001
Amphicarpum.purshii	3	0.0653764049845026	0.001
Andropogon.virginica	3	0.500939225965078	0.001
Aristida.virgata	3	0.436214416318121	0.001
Arundinaria.tecta	4	0.373098621020964	0.001
Calamagrostis.coarctata	4	0.113214346783268	0.001
Chasmanthium.laxum	4	0.308894120117253	0.001
Dichanthelium.lucidum	4	0.326850989942329	0.001
Dichanthelium.scabriusculum	2	0.106338975225713	0.009
Dichanthelium.scoparium	4	0.258632839643577	0.001
Juncus.canadensis	4	0.100397250179835	0.001
Juncus.biflorus	4	0.646510237754323	0.001
Juncus.effusus	4	0.0840631331718091	0.003
Carex.glaucescens	4	0.198374916018514	0.001
Rhynchospora.chalarocephala	3	0.105069933988356	0.006
Rhynchospora.inexpansa	3	0.485443512886312	0.001
Saccharum.giganteum	2	0.0486111111111111	0.001
Scirpus.cyperinus	2	0.186284944465739	0.001
Scleria.minor	3	0.437125510957714	0.001
