"","BLOCK","Fertilizer","Mowing","Ditch","treatment","QUADRAT..","DATA.TYPE","Year","Agalinus.purpurea","Aster.novi.belgii","Bidens.bipinnata","Chamaecrista.fasciculata","Clematis.dioscoreifolia","Desmodium.sp.","Drosera.sp.","Erechtites.graminifolia","Eupatorium.capillifolium","Eupatorium.pilosum","Eupatorium.recurvans","Eupatorium.rotundifolium","Eupatorium.semiserratum","Euthamia.caroliniana","Galium.sp.","Gelsemium.sempervirens","Gnaphalium.purpureum","Gratiola.pilosa","Hypericum.sp.","Lespedeza.capitata","Lespedeza.hirta","Lobelia.nuttallii","Ludwigia.alternifolia","Ludwigia.hirtella","Lycopodium","Melothria.pendula","Osmunda.cinnamomea","Osmunda.regalis","Packera.tomentosa","Polygala.cruciata","Polygala.lutea","Polygonum.sp.","Pteridium.aquilinum","Pycnanthemum.flexuosum","Rhexia.mariana","Rhexia.virginica","Rhus.radicans","Rubus.hispidus","Scutellaria.integrifolia","Smilax.glauca","Smilax.rotundifolia","Solanum.carolinense","Solidago.pinetorum","Solidago.puberula","Solidago.rugosa","Solidago.stricta","Sphagnum.sp","Viola.primulifolia","Acer.rubrum","Amelanchier.canadensis","Aronia.arbutus","Callicarpa.americana","Clethra.alnifolia","Crataegus.sp.","Cyrilla.racemiflora","Ilex.glabra","Ilex.opaca","Itea.virginica","Liquidambar.styraciflua","Magnolia.virginica","Nyssa.sylvatica","Pinus.taeda","Prunus.serotina","Rhus.copallinum","Rubus.argutus","Symplocos.tinctoria","Vaccinium.sp.","Viburnum.nudum","Amphicarpum.purshii","Andropogon.virginica","Aristida.virgata","Arundinaria.tecta","Calamagrostis.coarctata","Chasmanthium.laxum","Dichanthelium.lucidum","Dichanthelium.scabriusculum","Dichanthelium.scoparium","Juncus.biflorus","Juncus.canadensis","Juncus.dichotomus","Juncus.effusus","Carex.glaucescens","Rhynchospora.chalarocephala","Rhynchospora.inexpansa","Saccharum.giganteum","Scirpus.cyperinus","Scleria.minor","Xyris.sp"
"1",1,0,0,1,"C",1,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0576962703482382,0,0,0,0.0138926545706942,0,0,0,0,0,0,0,0,0,0,0.0093159955317926,0.0093159955317926,0,0,0,0,0.0116043250512434,0.0070276660123418,0,0.481053499192035,0,0.127484898109688,0.016180984090145,0,0,0,0.016180984090145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151309011246435,0.0832745886971705,0,0,0,0.0253343021679482,0.561120630754715,0,0.319043022763998,0,0,0,0,0,0.0482175973624562,0.061947574479161,0,0,0,0
"2",1,0,0,1,"C",2,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0.0186508678333645,0,0.0735393508865274,0,0,0,0.0672840482593003,0.0158180066435628,0,0,0,0,0,0,0,0,0,0.0458003192361341,0,0,0,0,0.0158180066435628,0.0514660416157375,0,0,0.0615032858313801,0,0.23443723846364,0.225938654894235,0,0,0,0.0214837290231662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381861060381645,0.0158180066435628,0.0889475273579615,0,0.10782847528796,0.582303964567665,0,0.335176370774076,0,0,0,0,0,0,0,0,0,0,0
"3",1,0,0,1,"C",3,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788328650618878,0,0,0,0.0516022477029387,0,0,0,0.0389741058546587,0,0,0,0,0,0,0.00779482117093173,0,0,0,0,0,0.00779482117093173,0,0,0.359932417040018,0,0.16665274508315,0.0456792467157719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283780089604374,0.0610638621003873,0.257498671121573,0.122435264636647,0.00779482117093173,0.324485534209128,0,0.12451211177766,0,0,0,0,0,0,0.0611663755790113,0,0,0,0
"4",2,0,0,0,"C",7,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0965739098202229,0,0,0,0.0826074293732956,0,0,0,0,0,0,0,0,0,0,0,0,0.0524768990441897,0,0.256612565860891,0,0.0385104185972623,0,0,0,0,0.107747094177765,0,0,0,0,0.0357171225078768,0.0683894198946226,0,0.0301305303291059,0,0,0.0742275411051391,0,0,0,0.0217506420609495,0,0,0,0,0,0,0,0,0.0217506420609495,0,0,0,0,0.0329238264184914,0.0496836029548042,0.0887897482062008,0.178241414916995,0,0.265429320342079,0.26204029759856,0,0.0496836029548042,0,0,0,0,0,0.0357171225078768,0.150996849267918,0,0,0,0
"5",2,0,0,0,"C",8,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0.0207380155024134,0,0.0987374809364338,0,0,0,0.0782038583085704,0.0459412291873025,0,0,0,0,0,0,0,0,0,0.0249988208103391,0,0.0441960284892222,0,0.178733707529519,0,0.0381900224832162,0,0,0,0,0.197522129459302,0,0,0,0,0.0129868087983271,0,0,0.0177350124994104,0,0,0.0674496486014811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351870194802132,0,0.0189928148043331,0.347562221907772,0.0374982312155087,0.235995157461126,0.00998380579532412,0.233149379746238,0.13867270411773,0,0,0,0,0,0,0,0.0249988208103391,0,0,0,0.0925270820558779,0
"6",2,0,0,0,"C",9,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0.0192418881102708,0,0.117336201114734,0,0,0,0.0262841416313976,0.0145470524295196,0,0,0,0,0,0,0,0,0,0.0168944702698952,0,0.0597261731307385,0,0.0946714771386942,0,0,0,0,0,0,0.165406230486366,0,0,0,0,0.0168944702698952,0.138809870718564,0,0.0121996345891441,0,0,0.103829875806564,0,0,0,0.045872938782118,0,0,0,0,0,0,0,0,0,0,0,0.0581882097180786,0,0,0.411237540183631,0.061842318277481,0.0146626887763362,0,0.0787367885473762,0.295670575175189,0,0.0145470524295196,0,0,0,0,0,0,0.124031545595412,0,0,0.109368856819075,0
"7",3,0,0,1,"C",13,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0829985327464319,0,0,0,0,0.020749633186608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147600373482726,0.12984927304255,0,0,0,0.0367933840202748,0,0,0.0853514739229025,0,0,0.0457783113245298,0,0,0,0,0,0,0,0,0,0,0,0,0.0457783113245298,0.0528371348539416,0,0,0,0,0.129203681472589,0,0,0,0.0790609577164199,0.435096705348806,0,0.70890222755769,0,0,0,0,0,0,0,0,0,0,0
"8",3,0,0,1,"C",14,"p cover",2004,0,0,0,0,0,0,0,0,0.0173237753882915,0,0,0.0312126642771804,0,0.0704898446833931,0,0,0,0,0,0.0265830346475508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280017921146953,0,0,0.278151135005974,0,0.0932646356033453,0.0340501792114695,0,0,0,0.0126941457586619,0,0,0.0173237753882915,0,0.0173237753882915,0.0439068100358423,0,0.05055256869773,0,0,0,0,0,0,0,0,0,0,0.143294504181601,0.0678763440860215,0,0.0126941457586619,0,0,0,0,0.01471027479092,0,0.278151135005974,0.555928912783751,0,0.206466547192354,0,0,0,0,0,0,0,0,0,0,0
"9",3,0,0,1,"C",15,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0.00765319775220765,0,0.0580947283917581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16046293818571,0,0.165794755151191,0,0,0,0,0.0549371153331549,0,0,0,0,0,0,0,0.0157613058603158,0,0,0,0,0,0,0,0,0,0,0.0130586031576131,0,0,0,0,0.0103559004549104,0.00765319775220765,0,0.285569975916511,0,0.125535188654001,0.440553920256891,0,0.65456917313353,0,0,0,0,0,0,0,0,0,0,0
"10",4,0,0,0,"C",19,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121619027047784,0,0,0,0.0635274917800658,0,0,0,0,0,0,0,0,0,0,0.0410636714906281,0.0100679194566443,0,0,0,0,0,0,0,0.0510955912352701,0,0.0697314421484628,0,0,0,0,0.0100679194566443,0.0100679194566443,0,0,0,0,0,0,0.034859721122231,0,0.499436004511964,0,0,0,0.18968248254014,0,0,0,0,0,0.0116159070727434,0,0,0,0.0100679194566443,0.0178198574411405,0.0333237334101327,0,0,0.0139438884488924,0.507451940384477,0,0.0139438884488924,0,0,0,0,0,0.134854921160631,0.13406292749658,0,0,0.0216958264333885,0
