,BLOCK,Fertilizer,Mowing,Ditch,treatment,QUADRAT..,DATA.TYPE,Year,Agalinus.purpurea,Aster.novi.belgii,Bidens.bipinnata,Chamaecrista.fasciculata,Clematis.dioscoreifolia,Desmodium.sp.,Drosera.sp.,Eupatorium.capillifolium,Eupatorium.pilosum,Eupatorium.recurvans,Eupatorium.rotundifolium,Eupatorium.semiserratum,Gnaphaleum.purpureum,Gratiola.pilosa,Hypericum.sp.,Lactuca.sp,Lespedeza.capitata,Lespedeza.hirta,Lobelia.nuttallii,Ludwigia.alternifolia,Ludwigia.hirtella,Lycopodium,Osmunda.regalis,Packera.tomentosa,Polygala.cruciata,Polygala.lutea,Polygonum.sp.,Pteridium.aquilinum,Pycnanthemum.flexuosum,Rhexia.mariana,Rhexia.virginica,Rhus.radicans,Rubus.hispidus,Scutellaria.integrifolia,Smilax.glauca,Smilax.rotundifolia,Solanum.carolinense,Euthamia.caroliniana,Solidago.pinetorum,Solidago.puberula,Solidago.rugosa,Solidago.stricta,Sphagnum.sp,Viola.primulifolia,Acer.rubrum,Amelanchier.canadensis,Clethra.alnifolia,Crataegus.sp.,Cyrilla.racemiflora,Ilex.glabra,Itea.virginica,Liquidambar.styraciflua,Magnolia.virginica,Nyssa.sylvatica,Pinus.taeda,Prunus.serotina,Rhus.copallinum,Rubus.betulifolius,Sorbus.arbutifolia,Symplocos.tinctoria,Vaccinium.sp.,Viburnum.nudum,Amphicarpum.purshii,Andropogon.virginica,Aristida.virgata,Arundinaria.tecta,Calamagrostis.coarctata,Chasmanthium.laxum,Dichanthelium.lucidum,Dichanthelium.scabriusculum,Dichanthelium.scoparium,Juncus.canadensis,Juncus.biflorus,Juncus.effusus,Carex.glaucescens,Rhynchospora.chalarocephala,Rhynchospora.inexpansa,Saccharum.giganteum,Scirpus.cyperinus,Scleria.minor,Xyris.sp
1,1,0,0,1,C,1,p cover,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013889165,0,0,0,0,0,0,0,0,0,0.009314251,0.009314251,0,0,0,0,0.011601708,0.007026794,0,0.481409442,0,0.127454364,0.016176622,0,0.057679695,0,0,0.016176622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151267136,0.083252778,0,0,0,0.02532645,0.561026411,0,0.318957527,0,0,0,0,0.048201022,0.061925764,0,0,0,0
2,1,0,0,1,C,2,p cover,2004,0,0,0,0,0,0,0,0,0,0,0.018654882,0,0,0.067301444,0.015820683,0,0,0,0,0,0,0,0,0.045812363,0,0,0,0,0.015820683,0.051480761,0,0,0.061033596,0,0.234476045,0.225973447,0,0.073562099,0,0,0.021489082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038198149,0.015820683,0.088959571,0,0.10786862,0.582447146,0,0.335280746,0,0,0,0,0,0,0,0,0,0
3,1,0,0,1,C,3,p cover,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05161088,0,0,0,0,0.038980272,0,0,0,0,0.007796054,0,0,0,0,0,0.007796054,0,0,0.359640164,0,0.166678641,0.045687879,0,0.07884643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283822016,0.061077427,0.257547997,0.122458694,0.007796054,0.324548424,0,0.124534308,0,0,0,0,0,0.061178707,0,0,0,0
4,1,1,0,1,F,4,p cover,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173644694,0,0.124129471,0.08632279,0,0.100440437,0,0,0.082314514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053301803,0.062394325,0,0.402663317,0,0,0,0,0,0,0,0.061495714,0.400922258,0,0.452370677,0,0,0,0,0,0,0,0,0,0
5,1,1,0,1,F,5,p cover,2004,0,0,0,0,0,0,0,0,0,0,0.012095289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464215443,0,0.103352895,0,0,0.009207202,0,0,0.009207202,0,0,0,0,0.012095289,0,0,0,0,0,0,0,0,0,0,0,0.018414404,0.076496655,0.009207202,0,0,0,0.012095289,0,0.145094416,0,0.033891674,0.342988805,0,0.751638236,0,0,0,0,0,0,0,0,0,0
6,1,1,0,1,F,6,p cover,2004,0,0,0,0,0,0,0,0,0,0,0.006960498,0,0,0,0,0,0,0,0,0,0,0,0,0.006960498,0,0,0,0,0,0,0,0,0.473061597,0,0.201745872,0.006960498,0,0.286533034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006960498,0,0,0,0,0.027468422,0.015696241,0,0,0.08252979,0.630059132,0,0.255063922,0,0,0,0,0,0,0,0,0,0
7,1,0,1,1,M,49,p cover,2004,0,0,0.006965627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006965627,0,0,0,0,0,0.058587526,0,0,0,0,0,0.014375142,0,0,0,0,0.223053722,0.042681539,0,0.149140678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006965627,0.087246756,0,0,0,0,0,0.077555201,0,0.093814022,0,0.022427726,0.338834509,0,0.871386296,0,0,0,0,0,0,0,0,0,0
8,1,0,1,1,M,50,p cover,2004,0,0,0,0,0,0,0,0,0,0,0.016255195,0,0,0.010805604,0,0,0,0.016255195,0,0,0,0,0,0.018275397,0,0,0,0,0,0.056939972,0,0,0,0,0.067134561,0.042000385,0.016255195,0.010805604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010805604,0,0,0,0,0,0,0.023724988,0.047449977,0,0.139388435,0.910246883,0,0.613657006,0,0,0,0,0,0,0,0,0,0
9,1,0,1,1,M,51,p cover,2004,0,0,0,0,0,0,0,0,0,0,0.012005152,0,0,0,0.009652211,0,0.012005152,0,0,0,0.012005152,0,0,0.036303134,0,0,0,0,0.044130528,0.012005152,0,0,0,0,0.091382568,0.085379991,0.016711035,0.055607557,0,0,0.012005152,0,0,0,0.009652211,0,0,0,0,0,0,0,0,0,0,0,0,0.009652211,0,0.012005152,0,0,0,0,0,0.098153714,0,0.056423358,0.923288965,0,0.491631602,0,0,0,0,0,0,0,0,0,0
10,1,1,1,1,MF,52,p cover,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252901019,0,0.312590603,0.022998941,0,0.078627248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022998941,0.016912205,0,0,0,0,0,0.010825469,0,0.234922549,0,0.137298922,0.294845024,0,0.615079079,0,0,0,0,0,0,0,0,0,0
