"","BLOCK","Fertilizer","Mowing","Ditch","treatment","QUADRAT..","DATA.TYPE","Year","alpha","H","D1","J"
"1",1,0,0,1,"C",1,"p cover",2004,17,2.06254636314551,0.823663460383277,0.727988369627201
"2",1,0,0,1,"C",2,"p cover",2004,17,2.25813934188742,0.850387171938572,0.797024109259106
"3",1,0,0,1,"C",3,"p cover",2004,16,2.35853110006082,0.884979726340219,0.850660280460035
"4",1,1,0,1,"F",4,"p cover",2004,11,2.09457197142538,0.847942813167159,0.873504358253725
"5",1,1,0,1,"F",5,"p cover",2004,14,1.75678741961793,0.765523224721477,0.665687478594504
"6",1,1,0,1,"F",6,"p cover",2004,12,1.78482645030356,0.7958926755738,0.718267002285914
"7",1,0,1,1,"M",49,"p cover",2004,14,1.83764394682052,0.756335974250444,0.696325891142509
"8",1,0,1,1,"M",50,"p cover",2004,15,1.58903070938009,0.690410492592961,0.586780373839944
"9",1,0,1,1,"M",51,"p cover",2004,19,1.78395483832239,0.717399118448093,0.605872579104158
"10",1,1,1,1,"MF",52,"p cover",2004,11,1.93049437200418,0.822914250148145,0.805078684587951
"11",1,1,1,1,"MF",53,"p cover",2004,20,2.17233616240327,0.83774188320424,0.725143625677243
"12",1,1,1,1,"MF",54,"p cover",2004,15,1.91990375147232,0.792860696815136,0.708961654658725
"13",2,0,0,0,"C",7,"p cover",2004,21,2.74767560062229,0.919992115831892,0.902498062282931
"14",2,0,0,0,"C",8,"p cover",2004,22,2.66246035458586,0.909797877591306,0.861347068104218
"15",2,0,0,0,"C",9,"p cover",2004,22,2.64505187474938,0.903619583117574,0.855715155861292
"16",2,1,0,0,"F",10,"p cover",2004,13,1.93673477238344,0.804750224806178,0.755077197430586
"17",2,1,0,0,"F",11,"p cover",2004,18,2.16422869810652,0.840083582663183,0.74877174266393
"18",2,1,0,0,"F",12,"p cover",2004,21,2.22451206963379,0.808974127746391,0.730660428732853
"19",2,0,1,0,"M",55,"p cover",2004,20,2.38225614321784,0.860371786964358,0.795216636762954
"20",2,0,1,0,"M",56,"p cover",2004,23,2.57243757170823,0.897981759667614,0.820424913763055
"21",2,0,1,0,"M",57,"p cover",2004,20,2.59213330427938,0.904959833101594,0.865275354263951
"22",2,1,1,0,"MF",58,"p cover",2004,18,2.02701163001358,0.771169842452642,0.701297895149998
"23",2,1,1,0,"MF",59,"p cover",2004,23,2.36922296715268,0.869735936440662,0.755613885401667
"24",2,1,1,0,"MF",60,"p cover",2004,18,2.26224196746384,0.862668709525554,0.782682006660095
"25",3,0,0,1,"C",13,"p cover",2004,13,2.03050973480449,0.805904139284098,0.791637358803072
"26",3,0,0,1,"C",14,"p cover",2004,20,2.35556824119876,0.861306022430517,0.786307996209632
"27",3,0,0,1,"C",15,"p cover",2004,13,1.90172550289337,0.804967368323649,0.741428089939155
"28",3,1,0,1,"F",16,"p cover",2004,18,1.87559112546368,0.75650486924597,0.648909995864643
"29",3,1,0,1,"F",17,"p cover",2004,13,1.77620545194578,0.763833027702742,0.692491431372216
"30",3,1,0,1,"F",18,"p cover",2004,18,1.66210290448626,0.63367847175123,0.575048140415011
"31",3,0,1,1,"M",61,"p cover",2004,16,2.16716894925001,0.853661023007019,0.781640973962883
"32",3,0,1,1,"M",62,"p cover",2004,16,2.08729611929271,0.829747824906875,0.752832940042594
"33",3,0,1,1,"M",63,"p cover",2004,15,2.19032755162353,0.853868440930149,0.80882088180346
"34",3,1,1,1,"MF",64,"p cover",2004,16,2.166803828682,0.835768919143766,0.781509284554686
"35",3,1,1,1,"MF",65,"p cover",2004,18,2.12842527436871,0.81389828537673,0.736384608157792
"36",3,1,1,1,"MF",66,"p cover",2004,15,2.12444372291092,0.857093057065559,0.78449200167938
"37",4,0,0,0,"C",19,"p cover",2004,21,2.28680399185337,0.847222120415851,0.751120754939601
"38",4,0,0,0,"C",20,"p cover",2004,23,2.57282664157587,0.89544621297226,0.820548999422556
"39",4,0,0,0,"C",21,"p cover",2004,21,2.17860848437691,0.805147179521355,0.715582995015136
"40",4,1,0,0,"F",22,"p cover",2004,21,2.23279795785202,0.835095672404282,0.733382001126463
"41",4,1,0,0,"F",23,"p cover",2004,23,2.16418684193653,0.787666908550806,0.690221921297727
"42",4,1,0,0,"F",24,"p cover",2004,20,2.18482123532743,0.806178311408428,0.729311245405607
"43",4,0,1,0,"M",67,"p cover",2004,25,2.68180643588413,0.892489831107293,0.833150013170807
"44",4,0,1,0,"M",68,"p cover",2004,23,2.43345760127488,0.856315248102023,0.776100172314866
"45",4,0,1,0,"M",69,"p cover",2004,24,2.82600787389218,0.927353004089972,0.889225930318109
"46",4,1,1,0,"MF",70,"p cover",2004,23,2.69988345474958,0.913392548192086,0.861071100381384
"47",4,1,1,0,"MF",71,"p cover",2004,21,2.20707074478762,0.808550935354508,0.724931673171698
"48",4,1,1,0,"MF",72,"p cover",2004,24,2.32642727814502,0.842333668373632,0.732028908991235
"49",5,0,0,1,"C",25,"p cover",2004,11,1.6606893706707,0.736154743798885,0.69256125966363
"50",5,0,0,1,"C",26,"p cover",2004,14,1.94144598768212,0.786665755394529,0.7356588907317
"51",5,0,0,1,"C",27,"p cover",2004,13,2.31202992796622,0.883738506398548,0.901393987074418
"52",5,1,0,1,"F",28,"p cover",2004,24,2.25476498762396,0.809461726698961,0.709479797381877
"53",5,1,0,1,"F",29,"p cover",2004,14,2.28858348715235,0.872289031255208,0.867197336514851
"54",5,1,0,1,"F",30,"p cover",2004,21,2.2007454601774,0.828688402135132,0.722854078166373
"55",5,0,1,1,"M",73,"p cover",2004,17,2.08654976944874,0.800829012714101,0.736460518875537
"56",5,0,1,1,"M",74,"p cover",2004,13,1.85877067335149,0.775203012141079,0.724681237056105
"57",5,0,1,1,"M",75,"p cover",2004,17,2.27162190913642,0.848079363352895,0.801782863935061
"58",5,1,1,1,"MF",76,"p cover",2004,17,2.49492789846101,0.899622141923048,0.880600080362852
"59",5,1,1,1,"MF",77,"p cover",2004,19,2.13845711806512,0.825037823367257,0.726269803244662
"60",5,1,1,1,"MF",78,"p cover",2004,18,2.60501438051039,0.911168006188572,0.901273122875556
"61",6,0,0,0,"C",31,"p cover",2004,24,2.51411063412196,0.87890008038515,0.791084974745916
"62",6,0,0,0,"C",32,"p cover",2004,18,2.43985045071751,0.888544617891992,0.84413032477643
"63",6,0,0,0,"C",33,"p cover",2004,24,2.57580527236119,0.892608250522496,0.8104976850185
"64",6,1,0,0,"F",34,"p cover",2004,22,2.31991490050164,0.836083943257925,0.750528320302144
"65",6,1,0,0,"F",35,"p cover",2004,25,2.5819427966489,0.887290766941525,0.802125629296252
"66",6,1,0,0,"F",36,"p cover",2004,19,1.99833323413936,0.77172152245873,0.678680471315144
"67",6,0,1,0,"M",79,"p cover",2004,20,1.92014972921641,0.73306955229115,0.640961726175363
"68",6,0,1,0,"M",80,"p cover",2004,24,2.62574141776836,0.905255515194172,0.826210491683487
"69",6,0,1,0,"M",81,"p cover",2004,28,2.59223375231515,0.871790196642061,0.777933570523514
"70",6,1,1,0,"MF",82,"p cover",2004,24,2.55913243914038,0.884974273269727,0.80525144498896
"71",6,1,1,0,"MF",83,"p cover",2004,30,2.84082145417171,0.913419797104178,0.835241573890488
"72",6,1,1,0,"MF",84,"p cover",2004,25,2.72856158176771,0.903563980194061,0.847675315924755
"73",7,0,0,1,"C",37,"p cover",2004,14,2.19923322183286,0.860279548377169,0.83334044969515
"74",7,0,0,1,"C",38,"p cover",2004,13,1.9438600735617,0.820718736881562,0.757855147473747
"75",7,0,0,1,"C",39,"p cover",2004,12,1.99221493438376,0.822371763185381,0.801726267887659
"76",7,1,0,1,"F",40,"p cover",2004,19,2.08709402337304,0.813358869773832,0.70882570097068
"77",7,1,0,1,"F",41,"p cover",2004,12,1.77180357346558,0.769056677016485,0.713026211112092
"78",7,1,0,1,"F",42,"p cover",2004,16,1.87506937490107,0.750127540086761,0.676288322123134
"79",7,0,1,1,"M",85,"p cover",2004,19,2.16856373616959,0.818660137050481,0.736494711390996
"80",7,0,1,1,"M",86,"p cover",2004,15,1.92697903144739,0.759808825082785,0.711574338859408
"81",7,0,1,1,"M",87,"p cover",2004,18,2.00698767088986,0.807963634440474,0.694370080736847
"82",7,1,1,1,"MF",88,"p cover",2004,16,2.08780166273483,0.806172046009932,0.753015276296819
"83",7,1,1,1,"MF",89,"p cover",2004,22,2.38899029269456,0.873083992186156,0.77287527710886
"84",7,1,1,1,"MF",90,"p cover",2004,21,2.29075381520726,0.835825133237769,0.752418108936715
"85",8,0,0,0,"C",43,"p cover",2004,21,2.41598752038695,0.872463281205804,0.793552213789409
"86",8,0,0,0,"C",44,"p cover",2004,21,1.95843103034631,0.784430556095517,0.643263786162387
"87",8,0,0,0,"C",45,"p cover",2004,20,2.28555684192024,0.85452730886267,0.762937616988304
