Year,Block,Ditch,Quadrat,Treatment,Treatment2,Biomass forbs,Biomass graminoids,totalbiomass
2017.yr,1,1,1,M,M/UF,74.93,53.46,128.39
2017.yr,1,1,2,M,M/UF,47.75,52.18,99.93
2017.yr,1,1,3,M,M/UF,37.53,70.32,107.85
2017.yr,1,1,1,MF,M/F,84.36,132.45,216.81
2017.yr,1,1,2,MF,M/F,138.14,140.75,278.89
2017.yr,1,1,3,MF,M/F,99.92,82.94,182.86
2017.yr,2,0,1,M,M/UF,13.71,84.21,97.92
2017.yr,2,0,2,M,M/UF,3.55,99.53,103.08
2017.yr,2,0,3,M,M/UF,15.08,106.01,121.09
2017.yr,2,0,1,MF,M/F,37.15,108.35,145.5
2017.yr,2,0,2,MF,M/F,41.14,113.62,154.76
2017.yr,2,0,3,MF,M/F,62.1,84.97,147.07
2017.yr,3,1,1,M,M/UF,75.14,92.49,167.63
2017.yr,3,1,2,M,M/UF,23.22,114.36,137.58
2017.yr,3,1,3,M,M/UF,28.34,86.01,114.35
2017.yr,3,1,1,MF,M/F,38.83,175.72,214.55
2017.yr,3,1,2,MF,M/F,20.25,234.26,254.51
2017.yr,3,1,3,MF,M/F,21.35,183.38,204.73
2017.yr,4,0,1,M,M/UF,18.77,60.56,79.33
2017.yr,4,0,2,M,M/UF,13.61,88.77,102.38
2017.yr,4,0,3,M,M/UF,25.76,131.44,157.2
2017.yr,4,0,1,MF,M/F,71.13,144.98,216.11
2017.yr,4,0,2,MF,M/F,50.78,180.45,231.23
2017.yr,4,0,3,MF,M/F,53.88,245.19,299.07
2017.yr,5,1,1,M,M/UF,7.2,122.46,129.66
2017.yr,5,1,2,M,M/UF,19.47,103.16,122.63
2017.yr,5,1,3,M,M/UF,10.38,98.09,108.47
2017.yr,5,1,1,MF,M/F,37.43,292.52,329.95
2017.yr,5,1,2,MF,M/F,79.75,202.22,281.97
2017.yr,5,1,3,MF,M/F,80.17,204.75,284.92
2017.yr,6,0,1,M,M/UF,33.6,104.61,138.21
2017.yr,6,0,2,M,M/UF,74.77,39.86,114.63
2017.yr,6,0,3,M,M/UF,95.56,41.16,136.72
2017.yr,6,0,1,MF,M/F,43.35,109.34,152.69
2017.yr,6,0,2,MF,M/F,26.36,141.68,168.04
2017.yr,6,0,3,MF,M/F,38.92,186.37,225.29
2017.yr,7,1,1,M,M/UF,10.83,95.33,106.16
2017.yr,7,1,2,M,M/UF,1.15,117.15,118.3
2017.yr,7,1,3,M,M/UF,9.75,86.59,96.34
2017.yr,7,1,1,MF,M/F,38.82,191.8,230.62
2017.yr,7,1,2,MF,M/F,43.43,166.38,209.81
2017.yr,7,1,3,MF,M/F,5.7,372.43,378.13
2017.yr,8,0,1,M,M/UF,15.79,93.25,109.04
2017.yr,8,0,2,M,M/UF,6.33,60.92,67.25
2017.yr,8,0,3,M,M/UF,17.65,118.87,136.52
2017.yr,8,0,1,MF,M/F,31.6,174.1,205.7
2017.yr,8,0,2,MF,M/F,51.32,160.3,211.62
2017.yr,8,0,3,MF,M/F,1.93,281.83,283.76
2010.yr,1,1,1,M,M/UF,,,240.38
2010.yr,1,1,2,M,M/UF,,,365.8
2010.yr,1,1,3,M,M/UF,,,275.79
2010.yr,1,1,1,MF,M/F,,,273.12
2010.yr,1,1,2,MF,M/F,,,322.98
2010.yr,1,1,3,MF,M/F,,,307.6
2010.yr,2,0,1,M,M/UF,,,166
2010.yr,2,0,2,M,M/UF,,,159.26
2010.yr,2,0,3,M,M/UF,,,167.16
2010.yr,2,0,1,MF,M/F,,,243.14
2010.yr,2,0,2,MF,M/F,,,120.08
2010.yr,2,0,3,MF,M/F,,,127.21
2010.yr,3,1,1,M,M/UF,,,191.06
2010.yr,3,1,2,M,M/UF,,,217.42
2010.yr,3,1,3,M,M/UF,,,196.61
2010.yr,3,1,1,MF,M/F,,,226.56
2010.yr,3,1,2,MF,M/F,,,309.18
2010.yr,3,1,3,MF,M/F,,,270.67
2010.yr,4,0,1,M,M/UF,,,159.76
2010.yr,4,0,2,M,M/UF,,,161.09
2010.yr,4,0,3,M,M/UF,,,162.63
2010.yr,4,0,1,MF,M/F,,,172.92
2010.yr,4,0,2,MF,M/F,,,180.52
2010.yr,4,0,3,MF,M/F,,,177.13
2010.yr,5,1,1,M,M/UF,,,196.2
2010.yr,5,1,2,M,M/UF,,,212.66
2010.yr,5,1,3,M,M/UF,,,198.82
2010.yr,5,1,1,MF,M/F,,,271.32
2010.yr,5,1,2,MF,M/F,,,211.78
2010.yr,5,1,3,MF,M/F,,,259.9
2010.yr,6,0,1,M,M/UF,,,171.58
2010.yr,6,0,2,M,M/UF,,,107.42
2010.yr,6,0,3,M,M/UF,,,150.42
2010.yr,6,0,1,MF,M/F,,,155.48
2010.yr,6,0,2,MF,M/F,,,252.14
2010.yr,6,0,3,MF,M/F,,,205.79
2010.yr,7,1,1,M,M/UF,,,233.92
2010.yr,7,1,2,M,M/UF,,,183.32
2010.yr,7,1,3,M,M/UF,,,200.59
2010.yr,7,1,1,MF,M/F,,,173.22
2010.yr,7,1,2,MF,M/F,,,236.06
2010.yr,7,1,3,MF,M/F,,,188.06
2010.yr,8,0,1,M,M/UF,,,204.18
2010.yr,8,0,2,M,M/UF,,,105.7
2010.yr,8,0,3,M,M/UF,,,113.16
2010.yr,8,0,1,MF,M/F,,,135.9
2010.yr,8,0,2,MF,M/F,,,233.28
2010.yr,8,0,3,MF,M/F,,,214.28
