"","V1","V2","V3","V4","V5","V6","V7","V8"
"Fertilization",0,0,0,0,1,1,1,1
"Mowing",0,0,1,1,0,0,1,1
"Ditch",0,1,0,1,0,1,0,1
"Moisture...._mean",19.325,19.425,19.475,19.425,19.425,19.55,19.525,19.425
"Temp..degC._mean",22.08,22.04,23.22,23.075,22.09,21.9325,22.8175,22.5325
"pH_mean",4.8275,4.9725,4.9525,5.335,4.7575,4.79,5.285,5.3075
"SoilC_._mean",4.065,3.695,3.69,3.54,3.625,4.83,3.87,3.98
"SoilN_._mean",0.215,0.22,0.205,0.205,0.195,0.2725,0.21,0.22
"NH4_ugpergsoil_mean",2.83075,2.335,2.955,2.142,2.79325,2.795,2.60175,2.689
"NO3_ugpergsoil_mean",0.287,0.774,0.5355,0.4635,0.34575,0.77975,0.599,0.264
"Moisture...._sd",0.320156211871643,0.287228132326901,0.359397644214131,0.320156211871642,0.262995563967659,0.264575131106459,0.287228132326901,0.206155281280883
"Temp..degC._sd",0.264575131106459,0.341272129929571,0.45092497528229,0.521951466453858,0.243173463464527,0.190153446808974,0.664699180080734,0.137204227340123
"pH_sd",0.333504122913046,0.046457866215888,0.134505266315735,0.13076696830622,0.180439278798529,0.129099444873581,0.0597215762238964,0.178021534277925
"SoilC_._sd",0.507313184006356,1.06202636502113,0.589293362143735,0.844156383616211,0.510848966590583,1.10084815786132,0.570204641627314,0.682690754783355
"SoilN_._sd",0.0129099444873581,0.0541602560309064,0.0369684550213647,0.0443471156521669,0.0129099444873581,0.0525198375219624,0.0346410161513775,0.0282842712474619
"NH4_ugpergsoil_sd",0.661262113940708,0.540615081797268,1.14688098772279,0.567206605509257,0.907135188381533,0.889753523922965,1.18539399216744,0.372894086839682
"NO3_ugpergsoil_sd",0.374081096377065,0.5516877135965,0.39867656063531,0.376079335601767,0.23338433966314,0.360212321647479,0.120097182870096,0.311198757495377
